Title,Time,Url
"Earthquake strikes Turkish coast and Greek island, killing 14",2020-10-30 18:49 UTC,https://abc7.com/earthquake-strikes-turkish-coast-and-greek-island-killing-14/7479646/
"Turkey earthquake: 4 dead, 120 injured, health minister says",2020-10-30 15:00 UTC,https://abc7ny.com/4-dead-120-injured-in-earthquake-on-turkish-coast-officials/7479646/
"Turkey earthquake: 4 dead, 120 injured, health minister says",2020-10-30 15:00 UTC,https://abc7news.com/4-dead-120-injured-in-earthquake-on-turkish-coast-officials/7479646/
"Turkey earthquake: 4 dead, 120 injured, health minister says",2020-10-30 15:00 UTC,https://abc13.com/4-dead-120-injured-in-earthquake-on-turkish-coast-officials/7479646/
"Turkey earthquake: 4 dead, 120 injured, health minister says",2020-10-30 15:00 UTC,https://6abc.com/4-dead-120-injured-in-earthquake-on-turkish-coast-officials/7479646/
"Turkey earthquake: 4 dead, 120 injured, health minister says",2020-10-30 15:00 UTC,https://abc7.com/4-dead-120-injured-in-earthquake-on-turkish-coast-officials/7479646/
"Strong Aegean Sea earthquake topples buildings in Turkey, shakes parts of Greece",2020-10-30 13:15 UTC,https://abc7ny.com/strong-aegean-sea-earthquake-topples-buildings-in-turkey/7479646/
"Strong Aegean Sea earthquake topples buildings in Turkey, shakes parts of Greece",2020-10-30 13:15 UTC,https://abc13.com/strong-aegean-sea-earthquake-topples-buildings-in-turkey/7479646/
"Strong Aegean Sea earthquake topples buildings in Turkey, shakes parts of Greece",2020-10-30 13:15 UTC,https://6abc.com/strong-aegean-sea-earthquake-topples-buildings-in-turkey/7479646/
'A Bit Of Anxiety': El Monte Earthquake Followed By Series Of Moderate Quakes Across SoCal,2020-09-24 23:22 UTC,https://losangeles.cbslocal.com/2020/09/24/a-bit-of-anxiety-el-monte-earthquake-followed-by-series-of-moderate-quakes-across-socal/
Preliminary Magnitude 4.5 Earthquake Strikes Near South El Monte,2020-09-19 07:38 UTC,https://losangeles.cbslocal.com/2020/09/19/south-el-monte-san-gabriel-earthquake/
"Earthquake Hits New Jersey, Felt In NYC: 'It Sounded Like A Dump Truck'",2020-09-09 13:41 UTC,https://www.ibtimes.com/earthquake-hits-new-jersey-felt-nyc-it-sounded-dump-truck-3042795
"3.1-magnitude earthquake hits New Jersey, USGS says",2020-09-09 11:08 UTC,https://abc7news.com/31-magnitude-earthquake-hits-new-jersey/6415100/
"3.1-magnitude earthquake hits New Jersey, USGS says",2020-09-09 11:08 UTC,https://abc13.com/31-magnitude-earthquake-hits-new-jersey/6415100/
"3.1 magnitude earthquake near East Freehold, N.J.",2020-09-09 07:03 UTC,https://abc7ny.com/31-magnitude-earthquake-in-monmouth-county-nj/6415092/
"Magnitude 4.8 earthquake rattles Death Valley area, USGS says",2020-08-19 19:05 UTC,https://abc7news.com/magnitude-48-earthquake-rattles-death-valley-area-usgs-says/6378219/
"525 reports of damage, 19 people in Red Cross housing after 5.1 magnitude earthquake in Sparta",2020-08-18 16:46 UTC,https://myfox8.com/news/525-reports-of-damage-19-people-in-red-cross-housing-after-5-1-magnitude-earthquake-in-sparta/
University of Memphis sends researchers to study North Carolina earthquake,2020-08-14 17:16 UTC,https://www.wxii12.com/article/university-memphis-research-study-north-carolina-earthquake/33607175
5.1 earthquake felt across North Carolina,2020-08-09 20:16 UTC,https://www.wtnh.com/weather/extreme-weather/5-1-earthquake-felt-across-north-carolina/
Aftershocks Forecast After Strongest Earthquake Hits N.C. in Over 100 Years,2020-08-09 16:29 UTC,https://heavy.com/news/2020/08/aftershocks-forecast-after-earthquake-north-carolina/
5.1 earthquake felt across North Carolina,2020-08-09 14:58 UTC,https://www.8newsnow.com/news/local-news/5-1-earthquake-felt-across-north-carolina/
"7.8 earthquake rocks Alaska, produces small tsunami",2020-07-22 12:32 UTC,https://abc13.com/78-earthquake-rocks-alaska-produces-small-tsunami/6328442/
"Preliminary M 5.8 earthquake shakes east of Tulare County, felt across Valley",2020-06-24 18:54 UTC,https://abc13.com/weather/preliminary-m-58-earthquake-shakes-east-of-tulare-county-felt-across-valley/6264776/
"Preliminary M 5.8 earthquake shakes east of Tulare County, felt across Valley",2020-06-24 17:50 UTC,https://abc7ny.com/weather/preliminary-m-58-earthquake-shakes-east-of-tulare-county-felt-across-valley/6264776/
"Powerful earthquake shakes southern, central Mexico near Huatulco resort; at least 5 dead",2020-06-24 11:35 UTC,https://6abc.com/at-least-5-dead-after-earthquake-shakes-mexico/6261801/
"Powerful earthquake shakes southern, central Mexico near Huatulco resort; at least 5 dead",2020-06-24 11:35 UTC,https://abc13.com/at-least-5-dead-after-earthquake-shakes-mexico/6261801/
"Powerful earthquake shakes southern, central Mexico near Huatulco resort; at least 5 dead",2020-06-24 11:35 UTC,https://abc7news.com/at-least-5-dead-after-earthquake-shakes-mexico/6261801/
"Powerful earthquake shakes southern, central Mexico near Huatulco resort; at least 5 dead",2020-06-24 11:35 UTC,https://abc7.com/at-least-5-dead-after-earthquake-shakes-mexico/6261801/
"Powerful earthquake shakes southern, central Mexico near Huatulco resort; at least 5 dead",2020-06-24 08:39 UTC,https://6abc.com/at-least-5-dead-after-powerful-earthquake-shakes-southern-central-mexico/6261801/
"Powerful earthquake shakes southern, central Mexico near Huatulco resort; at least 5 dead",2020-06-24 08:39 UTC,https://abc7.com/at-least-5-dead-after-powerful-earthquake-shakes-southern-central-mexico/6261801/
"Powerful earthquake shakes southern, central Mexico near Huatulco resort; at least 5 dead",2020-06-24 08:39 UTC,https://abc13.com/at-least-5-dead-after-powerful-earthquake-shakes-southern-central-mexico/6261801/
"5.1 Earthquake Reported Near Ridgecrest, California: See Map & Details",2020-06-04 01:44 UTC,https://heavy.com/news/2020/06/ridgecrest-earthquake-map-california/
Damage reported as 5.4 earthquake strikes Puerto Rico,2020-05-02 14:48 UTC,https://fox6now.com/2020/05/02/damage-reported-as-5-4-earthquake-strikes-puerto-rico/
3.5-magnitude earthquake recorded near Anza,2020-04-05 22:59 UTC,https://fox5sandiego.com/news/earthquakes/3-5-magnitude-earthquake-recorded-near-anza/
[BREAKING] 4.9 Magnitude Earthquake Shakes Southern California; How Bad is the Damage?,2020-04-04 03:21 UTC,https://www.techtimes.com/articles/248585/20200403/breaking-4-9-magnitude-earthquake-shakes-southern-california-how-bad-is-the-damage.htm
6.5-Magnitude Earthquake Shakes Idaho,2020-04-01 11:04 UTC,https://www.newsmax.com/newsfront/earthquake-idaho-montana-utah/2020/04/01/id/960854/
6.5-magnitude earthquake rocks Idaho,2020-04-01 08:44 UTC,https://abc7news.com/65-magnitude-earthquake-rocks-idaho/6067300/
6.5-magnitude earthquake rocks Idaho,2020-04-01 08:44 UTC,https://6abc.com/65-magnitude-earthquake-rocks-idaho/6067300/
6.5-magnitude earthquake rocks Idaho,2020-04-01 08:44 UTC,https://abc13.com/65-magnitude-earthquake-rocks-idaho/6067300/
6.5-magnitude earthquake rocks Idaho,2020-04-01 04:40 UTC,https://abc7.com/65-magnitude-earthquake-rocks-idaho/6067300/
"'Biggest earthquake in 140 years' shakes Croatia, damaging buildings in capital",2020-03-22 12:24 UTC,https://fox6now.com/2020/03/22/biggest-earthquake-in-140-years-shakes-croatia-damaging-buildings-in-capital/
Croatia Hit By Earthquake Amid Coronavirus [PHOTOS & VIDEO],2020-03-22 07:00 UTC,https://heavy.com/news/2020/03/croatia-earthquake-zagreb-damage-photos-video/
Petrolia earthquake: 5.2 magnitude quake strikes off Northern California coast,2020-03-18 22:52 UTC,https://abc7news.com/weather/petrolia-earthquake-52-magnitude-quake-strikes-off-northern-california-coast-near-humboldt-county/6025776/
SCDNR: Earthquake reported in the Lowcountry,2020-03-16 12:41 UTC,https://www.wjcl.com/article/scdnr-earthquake-reported-in-the-lowcountry/31663286
"Weeks after a deadly earthquake, Puerto Rico is rattled again",2020-02-04 21:13 UTC,https://fox6now.com/2020/02/04/weeks-after-a-deadly-earthquake-puerto-rico-is-rattled-again/
Powerful 7.7 magnitude earthquake strikes between Cuba and Jamaica,2020-01-28 19:40 UTC,https://fox61.com/2020/01/28/powerful-7-7-magnitude-earthquake-strikes-between-cuba-and-jamaica/
Tsunami threat message issued after magnitude 7.7 earthquake off the coast of Jamaica,2020-01-28 19:40 UTC,https://fox61.com/2020/01/28/tsunami-threat-message-issued-after-magnitude-7-7-earthquake-off-the-coast-of-jamaica/
Triad hit by 2.3 magnitude earthquake overnight,2020-01-28 15:42 UTC,https://myfox8.com/2020/01/28/triad-hit-by-2-3-magnitude-earthquake-overnight/
Puerto Rico earthquake: 5.0 magnitude earthquake hits southern Puerto Rico amid ongoing tremors,2020-01-25 23:34 UTC,https://www.cbsnews.com/news/5-0-magnitude-earthquake-hits-southern-puerto-rico-amid-ongoing-tremors-2020-01-25/
"At least 15 dead, more than 500 injured in Turkey earthquake",2020-01-25 00:11 UTC,https://fox43.com/2020/01/24/at-least-15-dead-more-than-500-injured-in-turkey-earthquake/
Some Bay Area hospital buildings pose risk of earthquake collapse,2020-01-24 03:50 UTC,https://abc7news.com/some-bay-area-hospital-buildings-pose-risk-of-earthquake-collapse/5874314/
3.4 Earthquake Hits Granada Hills Area,2020-01-22 13:18 UTC,https://losangeles.cbslocal.com/2020/01/22/granada-hills-earthquake/
Earthquake risk not just a west coast problem,2020-01-09 02:07 UTC,https://www.kgun9.com/news/national/earthquake-risk-not-just-a-west-coast-problem
Earthquake risk not just a west coast problem,2020-01-09 02:07 UTC,https://www.abcactionnews.com/news/national/earthquake-risk-not-just-a-west-coast-problem
"Missionaries, church groups in Puerto Rico on surviving earthquake, facing uncertainty",2020-01-08 05:00 UTC,https://www.christianpost.com/news/missionaries-church-groups-in-puerto-rico-surviving-earthquake-facing-uncertainty.html
A 6.4 magnitude earthquake hits Puerto Rico on a second day of strong temblors; at least 1 killed,2020-01-07 14:04 UTC,https://fox5sandiego.com/2020/01/07/a-6-4-magnitude-earthquake-hits-puerto-rico-on-a-second-day-of-strong-temblors-at-least-1-killed/
A 6.4 magnitude earthquake hit Puerto Rico a day after another quake rocked the island,2020-01-07 10:41 UTC,https://fox61.com/2020/01/07/a-6-4-magnitude-earthquake-hit-puerto-rico-a-day-after-another-quake-rocked-the-island/
At least 1 dead after M 6.4 earthquake rocks Puerto Rico triggering islandwide blackout,2020-01-07 05:00 UTC,https://www.christianpost.com/news/at-least-1-dead-after-m-64-earthquake-rocks-puerto-rico-triggering-islandwide-blackout.html
Earthquake reported in South Carolina Friday morning,2020-01-03 15:41 UTC,https://www.wjcl.com/article/earthquake-reported-in-south-carolina-friday-morning/30390116
Magnitude 6.3 earthquake hits Croatia; 5 deaths reported,2020-12-29 20:03 UTC,https://myfox8.com/news/magnitude-6-3-earthquake-hits-croatia-5-deaths-reported/
Strong 6.3 magnitude earthquake hits central Croatia,2020-12-29 12:22 UTC,https://abc13.com/strong-63-magnitude-earthquake-hits-central-croatia/9166672/
"LADWP replacing 7,000 miles of water pipes with earthquake resilient ones",2020-12-02 09:22 UTC,https://abc7.com/ladwp-installing-earthquake-resilient-pipes/8426107/
Earthquake Reported In Massachusetts' Bliss Corner For Second Time In Weeks,2020-11-22 13:59 UTC,https://boston.cbslocal.com/2020/11/22/massachusetts-earthquake-bliss-corner-new-bedford/
Rare 3.6 Magnitude Earthquake 'Not What You'd Expect' In New England,2020-11-09 15:44 UTC,https://boston.cbslocal.com/2020/11/09/new-england-earthquake-buzzards-bay-usgs/
Earthquake On US East Coast? Confusion Spreads Over The Morning Tremors,2020-11-08 16:46 UTC,https://www.ibtimes.com/earthquake-us-east-coast-confusion-spreads-over-morning-tremors-3078534
"Connecticut, Long Island rattle as 4.0 earthquake hits Massachusetts",2020-11-08 15:06 UTC,https://abc7ny.com/ct-li-rattle-as-40-earthquake-hits-massachusetts/7767420/
Earthquake Felt Across Eastern Massachusetts,2020-11-08 14:31 UTC,https://boston.cbslocal.com/2020/11/08/massachusetts-earthquake-november-8/
Rescuers have pulled more than 100 earthquake survivors from the rubble of Izmir,2020-10-31 19:02 UTC,https://edition.cnn.com/2020/10/31/europe/earthquake-turkey-greece-aegean-sea-rescue-scli-intl/index.html
Strong Aegean Sea earthquake topples buildings in Turkey,2020-10-30 13:19 UTC,https://www.wmtw.com/article/strong-aegean-sea-earthquake-topples-buildings-in-turkey/34531913
Strong Aegean Sea earthquake topples buildings in Turkey,2020-10-30 13:19 UTC,https://www.wjcl.com/article/strong-aegean-sea-earthquake-topples-buildings-in-turkey/34531913
Strong Aegean Sea earthquake topples buildings in Turkey,2020-10-30 13:19 UTC,https://www.wcvb.com/article/strong-aegean-sea-earthquake-topples-buildings-in-turkey/34531913
Strong Aegean Sea earthquake topples buildings in Turkey,2020-10-30 13:19 UTC,https://www.wvtm13.com/article/strong-aegean-sea-earthquake-topples-buildings-in-turkey/34531913
Strong Aegean Sea earthquake topples buildings in Turkey,2020-10-30 13:19 UTC,https://www.wxii12.com/article/strong-aegean-sea-earthquake-topples-buildings-in-turkey/34531913
Strong Aegean Sea earthquake topples buildings in Turkey,2020-10-30 13:19 UTC,https://www.wmur.com/article/strong-aegean-sea-earthquake-topples-buildings-in-turkey/34531913
Strong Aegean Sea earthquake topples buildings in Turkey,2020-10-30 13:19 UTC,https://www.wesh.com/article/strong-aegean-sea-earthquake-topples-buildings-in-turkey/34531913
Strong Aegean Sea earthquake topples buildings in Turkey,2020-10-30 13:19 UTC,https://www.wdsu.com/article/strong-aegean-sea-earthquake-topples-buildings-in-turkey/34531913
Strong Aegean Sea earthquake topples buildings in Turkey,2020-10-30 13:19 UTC,https://www.wbaltv.com/article/strong-aegean-sea-earthquake-topples-buildings-in-turkey/34531913
"Strong Aegean Sea earthquake topples buildings in Turkey, shakes parts of Greece",2020-10-30 13:15 UTC,https://abc7news.com/strong-aegean-sea-earthquake-topples-buildings-in-turkey/7479646/
